emojiname,emojicode
"man_running","\\ud83c\\udfc3\\u200D\\u2642\\uFE0F"
"woman_running","\\ud83c\\udfc3\\u200D\\u2640\\uFE0F"
"woman_dancing","\\ud83d\\udc83"
"man_dancing","\\ud83d\\udd7a"
"person_in_suit_levitating","\\ud83d\\udd74"
"people_with_bunny_ears","\\ud83d\\udc6f"
"men_with_bunny_ears","\\ud83d\\udc6f\\u200D\\u2642\\uFE0F"
"women_with_bunny_ears","\\ud83d\\udc6f\\u200D\\u2640\\uFE0F"
"person_in_steamy_room","\\ud83e\\uddd6"
"man_in_steamy_room","\\ud83e\\uddd6\\u200D\\u2642\\uFE0F"
"woman_in_steamy_room","\\ud83e\\uddd6\\u200D\\u2640\\uFE0F"
"person_climbing","\\ud83e\\uddd7"
"man_climbing","\\ud83e\\uddd7\\u200D\\u2642\\uFE0F"
"woman_climbing","\\ud83e\\uddd7\\u200D\\u2640\\uFE0F"
"person_fencing","\\ud83e\\udd3a"
"horse_racing","\\ud83c\\udfc7"
"skier","\\u26F7"
"snowboarder","\\ud83c\\udfc2"
"person_golfing","\\ud83c\\udfcc"
"man_golfing","\\ud83c\\udfcc\\uFE0F\\u200D\\u2642\\uFE0F"
"woman_golfing","\\ud83c\\udfcc\\uFE0F\\u200D\\u2640\\uFE0F"
"person_surfing","\\ud83c\\udfc4"
"man_surfing","\\ud83c\\udfc4\\u200D\\u2642\\uFE0F"
"woman_surfing","\\ud83c\\udfc4\\u200D\\u2640\\uFE0F"
"person_rowing_boat","\\ud83d\\udea3"
"man_rowing_boat","\\ud83d\\udea3\\u200D\\u2642\\uFE0F"
"woman_rowing_boat","\\ud83d\\udea3\\u200D\\u2640\\uFE0F"
"person_swimming","\\ud83c\\udfca"
"man_swimming","\\ud83c\\udfca\\u200D\\u2642\\uFE0F"
"woman_swimming","\\ud83c\\udfca\\u200D\\u2640\\uFE0F"
"person_bouncing_ball","\\u26F9"
"man_bouncing_ball","\\u26F9\\uFE0F\\u200D\\u2642\\uFE0F"
"woman_bouncing_ball","\\u26F9\\uFE0F\\u200D\\u2640\\uFE0F"
"person_lifting_weights","\\ud83c\\udfcb"
"man_lifting_weights","\\ud83c\\udfcb\\uFE0F\\u200D\\u2642\\uFE0F"
"woman_lifting_weights","\\ud83c\\udfcb\\uFE0F\\u200D\\u2640\\uFE0F"
"person_biking","\\ud83d\\udeb4"
"man_biking","\\ud83d\\udeb4\\u200D\\u2642\\uFE0F"
"woman_biking","\\ud83d\\udeb4\\u200D\\u2640\\uFE0F"
"person_mountain_biking","\\ud83d\\udeb5"
"man_mountain_biking","\\ud83d\\udeb5\\u200D\\u2642\\uFE0F"
"woman_mountain_biking","\\ud83d\\udeb5\\u200D\\u2640\\uFE0F"
"person_cartwheeling","\\ud83e\\udd38"
